STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Ambès1,SO2,2015-01-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,6,0,0,0,7,1
Ambès1,SO2,2015-01-30,0,0,0,0,0,2,2,0,1,0,1,3,2,0,0,5,5,0,0,0,0,0,0,0,0,5,1
Ambès1,SO2,2015-01-31,0,0,0,0,0,0,0,2,1,0,10,1,0,3,1,2,1,8,3,4,1,2,0,0,0,10,2
Ambès1,SO2,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,0,1,0,0,7,1
Ambès1,SO2,2015-02-02,3,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Ambès1,SO2,2015-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
Ambès1,SO2,2015-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
Ambès1,SO2,2015-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambès1,SO2,2015-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambès1,SO2,2015-02-07,1,0,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ambès1,SO2,2015-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambès1,SO2,2015-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambès1,SO2,2015-02-10,0,0,0,0,0,0,1,0,2,1,5,0,1,0,0,0,2,4,0,0,0,0,0,0,0,5,1
Ambès1,SO2,2015-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambès1,SO2,2015-02-12,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0
Ambès1,SO2,2015-02-13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ambès1,SO2,2015-02-14,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0
Ambès1,SO2,2015-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambès1,SO2,2015-02-16,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0
Ambès1,SO2,2015-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Ambès1,SO2,2015-02-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
Ambès1,SO2,2015-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
Ambès1,SO2,2015-02-20,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0
Ambès1,SO2,2015-02-21,0,1,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,19,5,2,4,0,0,0,0,19,2
Ambès1,SO2,2015-02-22,0,0,0,0,0,0,0,1,2,1,1,4,5,2,9,4,0,0,0,0,0,0,0,0,0,9,1
Ambès1,SO2,2015-02-23,2,0,0,0,0,0,0,0,0,5,11,11,15,10,0,1,5,2,1,0,0,1,0,0,0,15,3
Ambès1,SO2,2015-02-24,0,2,0,3,0,1,6,1,4,0,,,,,,0,1,1,3,2,3,3,2,0,0,6,2
Ambès1,SO2,2015-02-25,0,1,0,0,1,0,0,0,0,2,2,2,1,3,2,0,0,0,0,0,0,2,2,4,0,4,1
Ambès1,SO2,2015-02-26,1,0,0,0,3,3,0,0,1,2,0,0,1,2,9,0,1,0,0,7,1,3,2,1,0,9,2
Ambès1,SO2,2015-02-27,1,2,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,2,2,3,2,0,3,1
Ambès1,SO2,2015-02-28,1,2,2,3,3,2,3,1,0,0,0,0,1,1,2,4,5,2,1,0,0,0,1,0,0,5,1
Ambès1,SO2,2015-03-01,0,0,2,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,1
Ambès1,SO2,2015-03-02,4,4,3,2,1,4,8,7,4,0,1,5,9,1,6,9,13,0,2,6,1,0,0,0,0,13,4
Ambès1,SO2,2015-03-03,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,2,0
Ambès1,SO2,2015-03-04,1,0,1,0,0,1,1,1,3,0,3,2,2,0,0,0,0,1,1,3,2,3,3,2,0,3,1
Ambès1,SO2,2015-03-05,1,0,0,0,0,1,0,0,1,5,3,3,2,0,0,2,2,0,1,2,2,1,0,1,0,5,1
Ambès1,SO2,2015-03-06,3,2,2,2,3,1,0,5,9,2,5,2,2,2,3,3,3,1,3,4,2,1,2,2,0,9,3
Ambès1,SO2,2015-03-07,4,5,3,2,3,3,2,1,1,1,1,1,1,3,3,3,19,4,0,1,1,2,3,3,0,19,3
Ambès1,SO2,2015-03-08,2,3,1,3,2,4,2,1,1,17,20,4,1,11,3,1,2,0,1,1,2,1,0,0,0,20,3
Ambès1,SO2,2015-03-09,0,0,2,2,3,4,3,5,18,8,14,4,7,7,3,3,3,3,3,3,3,3,3,1,0,18,4
Ambès1,SO2,2015-03-10,1,1,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,2,3,4,4,2,2,1,0,4,1
Ambès1,SO2,2015-03-11,0,0,0,1,2,3,3,3,3,2,,,,,,,,,,,,,,,0,3,2
Ambès1,SO2,2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-05-31,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-27,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-01,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-05,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-06,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-08,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-09,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-17,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-18,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-22,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-23,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-25,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ambès1,SO2,2015-10-26,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
