objectid,nom,insee_comm,commune,gc_key,adresse,n_de_telep,grille,informatio,institutio,mise_a_jou,prochaine_,fax,code_posta,section,source,code_epci,nom_abrege,url,deneigemen,capacite_d,statut_jur,quartier,code_depar,date_maj,haut_debit,f_longitud,f_latidude,longitude,latitude,pv_cat,pv_sous_ca,raccorde_g,num_rac_gf,numero,nom_canton,planche,pv_libelle,image,source_de_,usage,pont,tunnel,objectid_1,st_length_,st_lengthshape
17,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 21.98"" E","47° 37' 35.09"" E","6° 51' 21.98"" E","47° 37' 35.09"" E", , ,0,0,0, , , , , , ,N,N,1,99.3426092062,99.4119255347807
235,SNCF,0, ,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, , , , , , , ,0,0,0, , , , , , , , ,2,4027.32875921,4030.38950235715
29,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 17.81"" E","47° 37' 38.29"" E","6° 51' 17.81"" E","47° 37' 38.29"" E", , ,0,0,0, , , , , , ,N,N,3,648.775439399,649.227349710261
31,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 24.00"" E","47° 37' 38.69"" E","6° 51' 24.00"" E","47° 37' 38.69"" E", , ,0,0,0, , , , , , ,N,N,4,249.559294406,249.733295618848
37,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 19.35"" E","47° 37' 47.29"" E","6° 51' 19.35"" E","47° 37' 47.29"" E", , ,0,0,0, , , , , , ,N,N,5,533.085267797,533.456118458036
41,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 21.62"" E","47° 37' 38.29"" E","6° 51' 21.62"" E","47° 37' 38.29"" E", , ,0,0,0, , , , , , ,N,N,6,249.362890963,249.53681699294
44,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 10.61"" E","47° 38' 00.33"" E","6° 51' 10.61"" E","47° 38' 00.33"" E", , ,0,0,0, , , , , , ,N,N,7,101.367561754,101.438012236582
236,SNCF,0, ,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, , , , , , , ,0,0,0, , , , , , , , ,8,7263.4372263,7268.24620097138
56,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 10.97"" E","47° 38' 03.60"" E","6° 51' 10.97"" E","47° 38' 03.60"" E", , ,0,0,0, , , , , , ,N,N,29,101.579276067,101.64975827443
59,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 19.89"" E","47° 37' 46.29"" E","6° 51' 19.89"" E","47° 37' 46.29"" E", , ,0,0,0, , , , , , ,N,N,30,33.0850772423,33.1081579859104
67,SNCF,90010,BELFORT,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, ,"6° 51' 24.00"" E","47° 37' 38.69"" E","6° 51' 24.00"" E","47° 37' 38.69"" E", , ,0,0,0, , , , , , ,N,N,31,917.466873802,918.105371352895
238,SNCF,0, ,0, , , , , ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, , , , ,0, , ,0,0, , ,0,1970/01/01 00:00:00+00, , , , , , , ,0,0,0, , , , , , , , ,32,2839.39296043,2841.39501788192
